horizon,term,regime,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,panel_effect
16,mp_abs_x_ph2m,expansionary,1.4304941185764304,0.30378043316177106,2.5572078039910897,0.6849932826563303,0.013484248346499642,0.019289137953091694,0.004096250803560557,0.03448202510262283,2079,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
17,mp_abs_x_ph2m,expansionary,-1.30853993465519,-2.480119725353207,-0.13696014395717282,0.7122699378846205,0.013484248346499642,-0.017644677450202997,-0.03344255030571513,-0.0018468045946908606,2052,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
18,mp_abs_x_ph2m,expansionary,0.21970372244935482,-0.6378896933611522,1.0772971382598617,0.5213797761445486,0.013484248346499642,0.002962539556157529,-0.008601463042954281,0.014526542155269337,2025,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
19,mp_abs_x_ph2m,expansionary,0.9159281341104978,-0.15887833484512914,1.9907346030661248,0.6534359357845385,0.013484248346499642,0.012350602427891983,-0.002142354923930049,0.026843559779714015,1998,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
20,mp_abs_x_ph2m,expansionary,-0.06743454079897582,-1.9773167306658732,1.8424476490679216,1.1611259254761914,0.013484248346499642,-9.093040952655523e-4,-0.02666262985598738,0.024844021665456274,1971,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
21,mp_abs_x_ph2m,expansionary,0.4827487525819041,-0.6405304388943807,1.6060279440581888,0.6829052586023359,0.013484248346499642,0.006509504068777305,-0.008637071511544242,0.021656079649098853,1944,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
22,mp_abs_x_ph2m,expansionary,1.5551932557050199,0.39417897156241977,2.7162075398476198,0.7058465659916459,0.013484248346499642,0.02097061208672781,0.005315207145515488,0.036626017027940126,1917,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
23,mp_abs_x_ph2m,expansionary,0.14442100089787116,-0.7636816144007977,1.0525236161965401,0.5520871890477711,0.013484248346499642,0.0019474086425569426,-0.010297672546236133,0.014192489831350021,1890,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
24,mp_abs_x_ph2m,expansionary,-0.29166258064381106,-2.194653735982409,1.6113285746947867,1.1569364739557717,0.013484248346499642,-0.003932850670782128,-0.02959325601056006,0.021727554668995803,1863,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
25,mp_abs_x_ph2m,expansionary,0.9098193196287773,-0.28712355905009257,2.106762198307647,0.7276896005009589,0.013484248346499642,0.01226822965631777,-0.0038716453763623032,0.02840810468899784,1836,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
26,mp_abs_x_ph2m,expansionary,-0.19206123824204235,-1.409725887285668,1.0256034108015832,0.7402875423635191,0.013484248346499642,-0.0025898014341919334,-0.019009093964649507,0.013829491096265642,1809,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
27,mp_abs_x_ph2m,expansionary,-1.496857726308715,-3.753776915147106,0.760061462529676,1.3721094399270686,0.013484248346499642,-0.020184001320923507,-0.05061686016120089,0.010248857519353883,1782,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
28,mp_abs_x_ph2m,expansionary,-0.06054537330098025,-1.4452178057958684,1.324127059193908,0.8418210652951557,0.013484248346499642,-0.00081640884982194645,-0.01948767580813478,0.017854858108490888,1755,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
29,mp_abs_x_ph2m,expansionary,0.38640460502374224,-0.7061706347574808,1.4789798448049651,0.6642385814026341,0.013484248346499642,0.0052103756563712435,-0.009522180214075162,0.01994293152681765,1728,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
30,mp_abs_x_ph2m,expansionary,-1.0326602809086478,-2.919647813575552,0.8543272517582563,1.1472069622171774,0.013484248346499642,-0.01392464768533829,-0.03936925620256743,0.01151996083189085,1701,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
31,mp_abs_x_ph2m,expansionary,0.24257414153376539,-1.154076081682619,1.6392243647501499,0.8491030449954986,0.013484248346499642,0.003270929966880246,-0.015561848496163641,0.022103708429924134,1674,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
32,mp_abs_x_ph2m,expansionary,1.160239188030474,-0.04788976176973647,2.368368137830685,0.7344902488614292,0.013484248346499642,0.015644953352744007,-6.457574409578309e-4,0.03193566414644585,1647,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
33,mp_abs_x_ph2m,expansionary,-0.5413893254667418,-1.6158239363417923,0.5330452854083086,0.6532098621239504,0.013484248346499642,-0.007300228116737469,-0.021788171241851357,0.007187715008376416,1620,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
34,mp_abs_x_ph2m,expansionary,0.3770859536827227,-0.8322650699203409,1.5864369772857863,0.7352332169789739,0.013484248346499642,0.005084720647434494,-0.011222468892922766,0.021391910187791754,1593,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
35,mp_abs_x_ph2m,expansionary,-0.04419351176224178,-3.1637250536192565,3.075338030094773,1.8965405132362279,0.013484248346499642,-5.959162879060212e-4,-0.04266045432304495,0.041468621747232905,1566,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
