UF,ref_month_yyyymm,mean_income,n_obs,total_weight,uf_code,year,month,mean_income_sa,mean_income_trend
31,202501,3239.3264553521,5306,10657721.7417635,31,2025,1,3145.07238074328,3137.77869878552
31,202502,3088.64431502036,5333,10643566.472244,31,2025,2,3135.23143998445,3149.8479754399
31,202503,3082.61315914178,5364,10822933.2844883,31,2025,3,3142.51818304178,3161.91725209428
31,202504,3241.47951169248,5540,11301220.9917426,31,2025,4,3144.44452895216,3173.98652874867
31,202505,3131.71022697537,5529,11145651.5941533,31,2025,5,3195.04089761969,3187.55899468745
31,202506,3273.59804062939,5562,11115349.1777358,31,2025,6,3282.91333019655,3201.13146062624
31,202507,3215.30419521581,5718,10949816.7598129,31,2025,7,3116.8971206071,3214.70392656503
31,202508,3129.93196589124,5399,11197145.3341454,31,2025,8,3190.34238923768,3228.81806084901
31,202509,3301.54573137003,5587,10855173.7925847,31,2025,9,3305.23824982616,3242.93219513298
31,202510,3288.76373007444,5683,10753008.2353686,31,2025,10,3241.74466565202,3257.04632941696
31,202511,3225.00490799069,5088,11778035.1473993,31,2025,11,3296.43989653679,3271.64154047351
31,202512,3513.1869517656,5308,10813243.3141153,31,2025,12,3534.99913160345,3286.23675153006
32,201201,2759.45836822481,2980,1724846.34105197,32,2012,1,2759.61804845368,2865.64023994526
32,201202,3088.25943049657,2649,1653001.14573919,32,2012,2,3171.42962208676,2871.89885514752
32,201203,2919.22616351114,2776,1655442.24381774,32,2012,3,2832.79919827301,2878.15747034979
32,201204,2871.4625643112,3173,1700712.90684993,32,2012,4,2854.98845883409,2884.41608555205
32,201205,2996.57374251536,2877,1661430.03121309,32,2012,5,3157.24068176763,2891.35242489994
32,201206,3043.44013899621,2914,1672978.03332654,32,2012,6,2952.34372795364,2898.28876424782
32,201207,2904.12852195962,3075,1708148.99886129,32,2012,7,2898.5921861361,2905.2251035957
32,201208,2735.32559422517,2849,1657799.52043167,32,2012,8,2875.90481887944,2912.20105270922
32,201209,3035.69171248653,2947,1706860.67030409,32,2012,9,2824.99532959446,2919.17700182273
32,201210,2809.8167749521,3203,1746365.68769664,32,2012,10,2821.27203372269,2926.15295093625
32,201211,2931.11173858438,2910,1686930.4152482,32,2012,11,3027.52556628379,2932.05847992131
32,201212,3023.80064708277,3142,1788569.94733539,32,2012,12,2941.49285981127,2937.96400890638
32,201301,2862.03695565122,3266,1720056.63288624,32,2013,1,2860.28774221239,2943.86953789144
32,201302,2933.13520727285,3087,1637075.32588391,32,2013,2,3019.83222729488,2955.04286552933
32,201303,3107.0523667822,3181,1713299.67826483,32,2013,3,3017.99656871804,2966.21619316722
32,201304,2978.28112204366,3386,1740831.25089308,32,2013,4,2962.19350644886,2977.38952080511
32,201305,2852.79035505817,3123,1686495.118315,32,2013,5,3017.36768991796,2988.42631027926
32,201306,2991.12469604511,3172,1723219.92891761,32,2013,6,2896.43314558647,2999.4630997534
32,201307,2972.68032912057,3333,1739614.0735434,32,2013,7,2967.41087997904,3010.49988922754
32,201308,3094.80016097041,3165,1727542.98548892,32,2013,8,3236.86362842074,3017.34073356344
32,201309,3106.38559522253,3264,1765405.07872702,32,2013,9,2892.94715156463,3024.18157789934
32,201310,3097.92571201339,3415,1745698.36500609,32,2013,10,3109.10336196722,3031.02242223525
32,201311,3020.59065971157,3064,1707204.47026223,32,2013,11,3119.58894057305,3034.51686899767
32,201312,3067.76503435898,3081,1691103.7334512,32,2013,12,2984.56596044215,3038.0113157601
32,201401,3105.50787232718,3341,1690271.56147904,32,2014,1,3101.84324579627,3041.50576252253
32,201402,2970.21999428682,3043,1719122.57243568,32,2014,2,3060.44046900805,3041.98629617552
32,201403,3146.90472364282,3074,1739594.56178145,32,2014,3,3055.21986471176,3042.46682982852
32,201404,3013.8997797671,3352,1697889.39929841,32,2014,4,2998.20151767588,3042.94736348152
32,201405,2928.9295992834,3125,1791480.74394559,32,2014,5,3097.42328503414,3041.85973649266
32,201406,3046.63541966961,2994,1721323.76706455,32,2014,6,2948.35777673396,3040.7721095038
