t,C,Y,pi,r,w
98,1.8025102997206593e-07,1.8025102997206898e-07,-1.5593295301131531e-07,-9.232803838482901e-08,-9.202449823070915e-08
99,1.795283275778125e-07,1.795283275778162e-07,-1.4746415570418448e-07,-8.569795303261734e-08,-7.040874934475417e-08
100,1.8060485057238e-07,1.8060485057237654e-07,-1.41125397173558e-07,-7.936520939569574e-08,-4.365522655511326e-08
101,1.834327344523649e-07,1.8343273445235232e-07,-1.3744367389063717e-07,-7.355720349943802e-08,-1.187437391866183e-08
102,1.8784736758336483e-07,1.8784736758334713e-07,-1.3693751768126526e-07,-6.854330556571814e-08,2.443413503260282e-08
103,1.9354397038506962e-07,1.9354397038509858e-07,-1.4007783584044843e-07,-6.462805150185102e-08,6.430268176524985e-08
104,2.0005710409904212e-07,2.0005710409906668e-07,-1.4724064453705785e-07,-6.213990600065219e-08,1.062265200899935e-07
105,2.0674537752106908e-07,2.0674537752106887e-07,-1.5865261302878717e-07,-6.141509071146152e-08,1.4811168620030704e-07
106,2.127839244718969e-07,2.1278392447192327e-07,-1.7433110055706225e-07,-6.27761634831973e-08,1.8724859231761005e-07
107,2.1716743218310293e-07,2.1716743218311884e-07,-1.9402123958776726e-07,-6.650530504979216e-08,2.2032060128821547e-07
108,2.1872657424951998e-07,2.187265742494944e-07,-2.171335662151713e-07,-7.281262533533719e-08,2.4345714555968226e-07
109,2.1616061980278322e-07,2.1616061980279482e-07,-2.426866771749953e-07,-8.180023876184006e-08,2.5234070543173985e-07
110,2.0808865757233381e-07,2.0808865757231923e-07,-2.692603514567595e-07,-9.342336254841703e-08,2.4237587323035515e-07
111,1.931213537834976e-07,1.9312135378347703e-07,-2.9496542847369464e-07,-1.0745027156905333e-07,2.0892704470796438e-07
112,1.6995418682246867e-07,1.699541868224589e-07,-3.174374236092135e-07,-1.2342353198326647e-07,1.476280131872066e-07
113,1.3748182695532345e-07,1.3748182695530945e-07,-3.3386122605257354e-07,-1.4062560323097272e-07,5.4762484881848496e-08
114,9.493263034709857e-08,9.493263034709643e-08,-3.41034161913462e-07,-1.580525063558232e-07,-7.228744822253004e-08
115,4.2019441284937105e-08,4.2019441284939884e-08,-3.354744441766647e-07,-1.7439942647263955e-07,-2.3453747856058847e-07
116,-2.0900073256682994e-08,-2.0900073256689224e-08,-3.13580799802209e-07,-1.8806296246377323e-07,-4.308648320046991e-07
117,-9.266159378046028e-08,-9.266159378047568e-08,-2.7184678818474735e-07,-1.9716517757763972e-07,-6.574660841148256e-07
118,-1.7113793676976947e-07,-1.7113793676977612e-07,-2.0713068067213132e-07,-1.9960384820162716e-07,-9.073312470848885e-07
119,-2.5310404464450484e-07,-2.531040446445335e-07,-1.1697954374346051e-07,-1.9313157954601784e-07,-1.169795437434604e-06
