uf_code,year,quarter,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
22,2022,4,0.22127487837815385,0.2536011866885358,0.5251239349333103,0.47487606506668967,8258514.659514358,8890,3750
23,2022,4,0.21754616543847985,0.25937001556034983,0.5230838190011703,0.4769161809988297,21936114.38796036,18199,7628
24,2022,4,0.21583911741048128,0.24438179564099935,0.5397790869485195,0.4602209130514806,8472020.53706011,7807,3126
25,2022,4,0.2222851142272898,0.24951894507808736,0.528195940694623,0.47180405930537717,9767135.553722499,9905,4157
26,2022,4,0.2198147527285431,0.23699214165078894,0.543193105620668,0.45680689437933203,21712333.825590253,14382,5985
27,2022,4,0.22592925631457078,0.24756165620304424,0.5265090874823851,0.473490912517615,7169319.116834741,14615,6478
28,2022,4,0.2274615931449133,0.24949124957171312,0.5230471572833736,0.4769528427166264,5427268.086187879,6863,2710
29,2022,4,0.2167328466086789,0.24739008929245296,0.5358770640988683,0.46412293590113185,33792032.27689044,16981,6493
31,2022,4,0.19154024525282617,0.26946176802230964,0.5389979867248642,0.4610020132751358,52752784.35652188,28436,9889
32,2022,4,0.1883796990589134,0.2569352177099394,0.5546850832311474,0.4453149167688528,9775091.179383608,13418,4670
33,2022,4,0.18222473254396665,0.22421731993918753,0.5935579475168458,0.4064420524831542,41587173.74754992,25987,9568
35,2022,4,0.19009836284096354,0.23863575592097322,0.5712658812380632,0.4287341187619368,109236752.98932819,28763,9342
41,2022,4,0.1866845252942498,0.26920189214072954,0.5441135825650208,0.4558864174349794,28358422.1239945,20267,8867
42,2022,4,0.1924652046500544,0.2697278421255547,0.537806953224391,0.4621930467756091,18594859.7810705,23506,10014
43,2022,4,0.18717542266266393,0.254702462723045,0.5581221146142912,0.44187788538570894,27964512.86772365,20302,8626
50,2022,4,0.20748167701127396,0.22524275868779645,0.5672755643009296,0.4327244356990704,6621313.705230391,7897,2886
51,2022,4,0.21425767446122995,0.22456560227189198,0.5611767232668781,0.43882327673312194,8565017.564776832,9239,3465
52,2022,4,0.21329051578788288,0.23127939462003375,0.5554300895920833,0.4445699104079166,17612197.532315444,12436,4393
53,2022,4,0.2003770325997004,0.19720303049905313,0.6024199369012465,0.39758006309875354,7341383.272187232,7114,2715
11,2023,1,0.24416433975572543,0.2383214302691489,0.5175142299751258,0.48248577002487436,4081688.7391493395,6212,2937
12,2023,1,0.22982079994957885,0.23827278555477815,0.5319064144956431,0.468093585504357,1949842.782375706,6963,3723
13,2023,1,0.23142588509262732,0.27018500381529637,0.4983891110920763,0.5016108889079237,9346495.948107984,10555,4983
14,2023,1,0.24135001002571138,0.2671843294524798,0.49146566052180896,0.5085343394781912,1375934.224955261,4211,1849
15,2023,1,0.2340738589758943,0.27701991700316947,0.4889062240209362,0.5110937759790638,20063098.402624138,13217,5819
16,2023,1,0.2285666873980267,0.2700138147887208,0.5014194978132527,0.4985805021867475,1810938.7593798395,3211,1351
17,2023,1,0.234781199488383,0.26433270761796046,0.5008860928936565,0.49911390710634346,3524033.767668441,5295,2031
21,2023,1,0.22464765287035698,0.2516014304444016,0.5237509166852415,0.47624908331475857,15482831.218975663,22679,10598
22,2023,1,0.21957499960912572,0.2506057641158218,0.5298192362750525,0.47018076372494755,8217307.908029534,8872,3811
23,2023,1,0.21666439796992212,0.24656239064370947,0.5367732113863687,0.4632267886136316,21848044.51539337,17835,7636
24,2023,1,0.21198701033961562,0.23316405660700398,0.5548489330533805,0.4451510669466196,8488668.187604826,7703,3183
25,2023,1,0.22190281066551493,0.24126088687134678,0.5368363024631383,0.4631636975368617,9726092.866403738,9646,4135
26,2023,1,0.2156245634891551,0.23478842461986538,0.5495870118909797,0.4504129881090205,22106914.84030046,14595,6030
27,2023,1,0.2249182443379559,0.2378775693418834,0.5372041863201608,0.4627958136798393,7136849.599484334,14407,6501
28,2023,1,0.2187302783299867,0.25883542280838506,0.5224342988616283,0.47756570113837177,5410604.382041337,6881,2752
29,2023,1,0.21400132858853846,0.24894859770694094,0.5370500737045206,0.4629499262954794,33704738.26973555,16793,6486
31,2023,1,0.18974427199209515,0.2626744307368892,0.5475812972710158,0.4524187027289843,52775167.25196423,28194,9885
32,2023,1,0.19096426256858173,0.24898747233168167,0.5600482650997367,0.4399517349002634,9898853.596512593,13456,4838
33,2023,1,0.18230892787860692,0.21610442474207303,0.6015866473793202,0.39841335262067995,41892814.56276061,26121,9709
35,2023,1,0.18865294854037296,0.23623609753764943,0.5751109539219776,0.42488904607802236,110226617.93663847,28775,9372
41,2023,1,0.1866705468783384,0.26596145382066994,0.5473679993009918,0.45263200069900833,28564132.0232749,20102,8889
42,2023,1,0.18824663584909587,0.27193247861311604,0.5398208855377882,0.46017911446221194,18627951.468558434,23408,10023
43,2023,1,0.18604458200156757,0.2576202982045936,0.556335119793839,0.4436648802061611,27664230.956974708,20189,8418
50,2023,1,0.2073470431560255,0.22343596721868733,0.5692169896252872,0.43078301037471284,6528823.434773292,7809,2882
51,2023,1,0.21044528028235698,0.21916637573078365,0.5703883439868596,0.42961165601314066,8688905.424523164,9299,3606
52,2023,1,0.2157171220264917,0.22745609686359844,0.5568267811099099,0.44317321889009015,17726699.957470145,12412,4387
53,2023,1,0.1999748551410308,0.19383450849126677,0.6061906363677025,0.39380936363229757,7322689.309470931,7062,2743
11,2023,2,0.24680082479321266,0.24378628344486183,0.5094128917619255,0.4905871082380745,4097482.819971501,6100,2783
12,2023,2,0.22701790173035244,0.23825817956770415,0.5347239187019435,0.4652760812980566,1951120.7227136407,7040,3728
13,2023,2,0.23112600841622136,0.2760719307302363,0.49280206085354233,0.5071979391464576,9308744.055331836,10566,4902
14,2023,2,0.24360115284010123,0.27695554359076907,0.4794433035691296,0.5205566964308703,1344970.9736085008,4218,1938
15,2023,2,0.23632658114356142,0.28121253741032165,0.48246088144611704,0.5175391185538831,20203182.723177686,13294,5855
16,2023,2,0.23676510793859062,0.2620667263246213,0.5011681657367881,0.4988318342632119,1823795.637941278,3192,1351
17,2023,2,0.23680950996473552,0.2604679526233792,0.5027225374118853,0.49727746258811467,3500337.057442084,5327,2071
21,2023,2,0.2311879780322563,0.2506339624105768,0.5181780595571669,0.4818219404428331,15324398.867392022,22539,10583
22,2023,2,0.2185813750590354,0.24805245992384808,0.5333661650171165,0.46663383498288347,8211181.6551034,8854,3901
23,2023,2,0.2175675137060895,0.2521485305709924,0.5302839557229181,0.4697160442770819,21793799.313330848,17604,7568
24,2023,2,0.21462250338949945,0.23398787429092946,0.5513896223195712,0.4486103776804289,8412410.129739128,7588,3161
25,2023,2,0.22310408872610907,0.2454800034787198,0.5314159077951713,0.4685840922048289,9683777.262926659,9637,4072
26,2023,2,0.21603221662018685,0.23093669865335348,0.5530310847264598,0.4469689152735403,22416683.251271643,14873,6201
27,2023,2,0.2236854892553574,0.2438782638438835,0.5324362469007591,0.4675637530992409,7232050.495345095,14561,6498
28,2023,2,0.2242281298416812,0.2541566240755149,0.5216152460828039,0.47838475391719615,5383075.793607988,6855,2829
29,2023,2,0.2164300189150456,0.24594986134048824,0.5376201197444661,0.46237988025553384,34194099.50104228,17245,6561
31,2023,2,0.19075595625998465,0.26363063150810845,0.545613412231907,0.4543865877680931,52923919.666613966,28545,9935
32,2023,2,0.19044270474957856,0.250570553376551,0.5589867418738704,0.44101325812612957,9874288.664335407,13569,4848
33,2023,2,0.17973011184056698,0.22140567960705085,0.5988642085523821,0.4011357914476178,42071510.48650207,26810,9772
35,2023,2,0.18909793137370734,0.23623337795101204,0.5746686906752807,0.4253313093247194,110170465.94096848,29031,9555
41,2023,2,0.18551846018747048,0.26980263286244865,0.5446789069500809,0.45532109304991913,28537642.97681645,20172,8895
42,2023,2,0.1922434825900412,0.26719891289668046,0.5405576045132784,0.45944239548672167,18740321.36211058,23605,10108
43,2023,2,0.18389161861265957,0.2568200708040304,0.55928831058331,0.44071168941669,27475894.990806285,20270,8508
