bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|25-34|male|secondary|Q4|unemployed,4.160333507348184e-05,3.404241162878632e-05,0.9999243542532976,689.62631482,1,0
Central_West|25-34|male|secondary|Q5|formal,3.64535113408574e-05,2.9828508608462376e-05,0.9999337179800506,787.06463597,1,0
Central_West|25-34|male|secondary|Q5|informal,3.453850456596477e-07,0.15604186072260076,0.8439577938923534,83080.842111,86,0
Central_West|25-34|male|secondary|Q5|self_employed,1.675317204530672e-05,1.3708477405642675e-05,0.999969538350549,1712.7048889399998,3,0
Central_West|25-34|male|secondary|Q5|unemployed,2.171014530253167e-05,1.7764578286913077e-05,0.9999605252764106,1321.62837098,1,0
Central_West|25-34|male|tertiary|Q1|informal,0.6951599978935376,0.3048324257377165,7.576368745774471e-06,6312.3089521,8,0
Central_West|25-34|male|tertiary|Q2|informal,0.2470759328013512,0.35118491426267134,0.40173915293597745,8735.84419421,9,0
Central_West|25-34|male|tertiary|Q3|informal,0.09991732631880082,0.6774368201977968,0.22264585348340238,9198.05457574,10,0
Central_West|25-34|male|tertiary|Q3|self_employed,2.7824948948361147e-05,0.9999257998650264,4.637518602526785e-05,1031.1656831,2,0
Central_West|25-34|male|tertiary|Q3|unemployed,0.9999564602678905,1.4337134684591428e-05,2.920259742493718e-05,1637.60150988,1,0
Central_West|25-34|male|tertiary|Q4|informal,1.533407296117794e-06,0.3863604309775633,0.6136380356151407,18713.07233008,23,0
Central_West|25-34|male|tertiary|Q4|self_employed,1.7189286741337323e-05,1.4065333315713694e-05,0.999968745379943,1669.24878778,2,0
Central_West|25-34|male|tertiary|Q4|unemployed,0.9999124673512695,2.88234978339285e-05,5.870915089661444e-05,814.51130275,1,0
Central_West|25-34|male|tertiary|Q5|informal,0.01569333985523379,0.15232610084413628,0.8319805593006299,87694.22919507,93,0
Central_West|25-34|male|tertiary|Q5|self_employed,3.485430430894072e-06,0.2090903229682321,0.7909061916013368,8232.718170780001,3,0
Central_West|35-44|female|no_education|Q1|formal,0.9998607647541485,4.58485703952734e-05,9.33866754562205e-05,512.01950379,1,0
Central_West|35-44|female|no_education|Q2|formal,0.9998698816388396,4.2846484774003596e-05,8.727187638640674e-05,547.90171459,1,0
Central_West|35-44|female|no_education|Q3|informal,1.4855054092964929e-05,0.6002462212766788,0.3997389236692283,1931.5600804599999,2,0
Central_West|35-44|female|no_education|Q4|formal,0.0005031336390223574,0.00041169493776487323,0.9990851714232127,56.93239211,1,0
Central_West|35-44|female|no_education|Q4|informal,0.00013763877477635124,0.00011262452442196046,0.9997497367008018,208.37987808,1,0
Central_West|35-44|female|no_education|Q5|formal,4.8213692204005724e-05,3.945141304785797e-05,0.9999123348947481,595.06111861,1,0
Central_West|35-44|female|primary|Q1|formal,0.7086451335031995,0.1716159616505722,0.1197389048462283,17027.579949940002,22,0
Central_West|35-44|female|primary|Q1|informal,0.5996598573865777,0.23543891494283084,0.16490122767059168,21984.83681745,29,0
Central_West|35-44|female|primary|Q1|unemployed,0.8792703807976125,3.389991815696021e-06,0.12072622921057169,6926.15481029,5,0
