t,C_PH2M,C_WH2M,C_RIC,C_total,Y,pi,r,C_PH2M_pct,C_WH2M_pct,C_RIC_pct
68,0.00019781111897242045,0.00011006719280112331,-0.0003078419330150423,3.637875850025555e-08,3.637875850022831e-08,-9.332507198918672e-07,-5.036805639548288e-07,0.09836872973730111,0.04662254161168175,-0.05469565375619009
69,0.0001922121179541603,0.00010743656229778714,-0.00029961257864966626,3.6101602278522274e-08,3.6101602278472305e-08,-9.060873647474787e-07,-4.892582050504615e-07,0.09558442407832096,0.045508252448984966,-0.05323350754174436
70,0.0001868103030853817,0.00010487037081914358,-0.0002916446491451456,3.6024759378545674e-08,3.6024759378530063e-08,-8.795956009112835e-07,-4.751374169540921e-07,0.09289817636040626,0.0444212585323437,-0.051817809852139164
71,0.00018159744819688773,0.00010236749586573944,-0.0002839286971942005,3.6246868426509826e-08,3.624686842646127e-08,-8.538286502700477e-07,-4.6129557196962705e-07,0.09030589582354966,0.04336108439058318,-0.0504468821420157
72,0.00017656583432860647,9.992668974681388e-05,-0.00027645566230950725,3.686176591235753e-08,3.686176591233672e-08,-8.288732054195062e-07,-4.4772537884533757e-07,0.08780374393581668,0.04232720152367596,-0.049119114594047705
73,0.00017170819367997442,9.75466113482214e-05,-0.0002692168547020232,3.795032617185442e-08,3.7950326171821305e-08,-8.048480008376884e-07,-4.3443754970819135e-07,0.08538810652064772,0.041319041859079614,-0.04783296325453128
74,0.00016701765170111776,9.522585960287174e-05,-0.0002622039401581238,3.957114586499539e-08,3.957114586497306e-08,-7.818996429523934e-07,-4.2146284778394357e-07,0.0830555649596046,0.04033601192923076,-0.04658694734643818
75,0.00016248766775987117,9.29630085647862e-05,-0.000255408925807005,4.175051765084332e-08,4.175051765080254e-08,-7.601952980635717e-07,-4.08853181260897e-07,0.08080286668690069,0.0393775077283032,-0.04537964674064652
76,0.00015811197535703012,9.075664361554562e-05,-0.0002488241466620431,4.447231053206278e-08,4.44723105320494e-08,-7.399119842829302e-07,-3.9668139686135014e-07,0.07862689545927397,0.0384429300486272,-0.04420969956468392
77,0.00015388452344731172,8.860539791031912e-05,-0.00024244225281420452,4.766854342635606e-08,4.766854342632963e-08,-7.212224189938486e-07,-3.850394411148138e-07,0.07652464217571357,0.03753169991859112,-0.04307579992732333
78,0.0001497994210113569,8.650798772908742e-05,-0.00023625619715125757,5.121158918775675e-08,5.12115891877372e-08,-7.042776365262861e-07,-3.740346008273209e-07,0.07449317731388416,0.03664327357680254,-0.04197669573660045
79,0.00014585088757519476,8.446324496173352e-05,-0.0002302592234754079,5.4909061521069935e-08,5.4909061521047866e-08,-6.891869059163293e-07,-3.6378361227534407e-07,0.07252962632414084,0.035777156232205655,-0.04091118658862082
80,0.00014203321283873694,8.2470144557417e-05,-0.00022444485489696102,5.850249919309917e-08,5.850249919308042e-08,-6.759958334553635e-07,-3.5440454480413175e-07,0.07063114955333859,0.03493291369115705,-0.03987812170540993
81,0.0001383407288846276,8.052782445802447e-05,-0.00021880688239181737,6.167095083524018e-08,6.167095083525022e-08,-6.64663912834109e-07,-3.460065167713603e-07,0.06879492842467826,0.03411018080088741,-0.038876397901872126
82,0.0001347677985430295,7.863559534999909e-05,-0.0002133393534311176,6.40404619120375e-08,6.404046191201088e-08,-6.550431614267726e-07,-3.3867749130787336e-07,0.0670181596516758,0.033308665580206245,-0.037904957565568866
83,0.00013130882331602593,7.679293756361215e-05,-0.00020803656062244125,6.520025719719796e-08,6.520025719717231e-08,-6.468598249486593e-07,-3.3247061757018777e-07,0.06529805917885773,0.03252814790608748,-0.03696278663854963
84,0.00012795827376001104,7.499948267018764e-05,-0.00020289303034443703,6.472608576093804e-08,6.472608576090735e-08,-6.397014088038714e-07,-3.2738982122750025e-07,0.06363187729050283,0.031768471718575005,-0.036048912598015806
85,0.0001247107443494987,7.325497781208502e-05,-0.00019790351141489755,6.221074668549766e-08,6.221074668547807e-08,-6.330114619114431e-07,-3.2337559374148817e-07,0.06201692589365458,0.031029529911585984,-0.03516240244292686
86,0.00012156103356019332,7.155923158669731e-05,-0.00019306296390135124,5.730124554069547e-08,5.7301245540685846e-08,-6.260945575824593e-07,-3.2029216232647013e-07,0.06045061834232305,0.030311241410317116,-0.034302360705928084
