uf_code,year,month,ref_month_yyyymm,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
22,2012,6,201206,0.250192410268868,0.282120712502466,0.467686877228666,0.532313122771334,2380956.30734366,3445,1430
23,2012,6,201206,0.243855876503651,0.249107152180549,0.507036971315801,0.492963028684199,6427721.93774537,7193,3194
24,2012,6,201206,0.219396931701904,0.265562761515493,0.515040306782603,0.484959693217397,2375010.28592673,3113,1237
25,2012,6,201206,0.240297128175736,0.274872086812682,0.484830785011582,0.515169214988418,2786120.69091916,3328,1394
26,2012,6,201206,0.212448554151698,0.272313306655416,0.515238139192887,0.484761860807114,6729076.84686809,5283,2274
27,2012,6,201206,0.22998491110933,0.256487381870569,0.513527707020101,0.486472292979899,2210611.83419384,4974,2404
28,2012,6,201206,0.232667301530197,0.274677628958819,0.492655069510984,0.507344930489017,1554325.62168039,2833,1118
29,2012,6,201206,0.238522995609873,0.262392046998941,0.499084957391187,0.500915042608814,10755537.3504396,7027,2607
31,2012,6,201206,0.194227710401845,0.289621621068723,0.516150668529433,0.483849331470567,15686321.5868318,10803,3770
32,2012,6,201206,0.191388324503953,0.276555441601591,0.532056233894457,0.467943766105544,2808909.10697762,5020,1858
33,2012,6,201206,0.197106916706622,0.255761162391773,0.547131920901606,0.452868079098394,13387106.9510557,10431,3851
35,2012,6,201206,0.198553951248326,0.253846895292101,0.547599153459573,0.452400846540427,34230155.9723092,11304,3981
41,2012,6,201206,0.197952870579368,0.293637118089833,0.508410011330799,0.491589988669201,8310709.78001058,7658,3602
42,2012,6,201206,0.191264748517852,0.290504707217258,0.518230544264891,0.481769455735109,5157943.02977187,8748,4020
43,2012,6,201206,0.195698739339778,0.265579561766721,0.538721698893501,0.461278301106499,8220264.28942546,7667,3563
50,2012,6,201206,0.214607924367744,0.23281628200729,0.552575793624966,0.447424206375034,1808331.15474398,3022,1130
51,2012,6,201206,0.200017382450747,0.255264727612159,0.544717889937094,0.455282110062906,2316067.97173254,3351,1358
52,2012,6,201206,0.213759004620255,0.251393786054645,0.5348472093251,0.4651527906749,4647097.54912674,4341,1624
53,2012,6,201206,0.200243322407792,0.223234994838501,0.576521682753707,0.423478317246293,2116889.68185033,2554,1056
11,2012,7,201207,0.239985961675615,0.285019253951924,0.474994784372461,0.52500521562754,1188537.27462112,2486,1088
12,2012,7,201207,0.229219757506349,0.28496913097892,0.485811111514731,0.514188888485269,514602.483695596,2261,1039
13,2012,7,201207,0.241321337335562,0.276159129361348,0.48251953330309,0.51748046669691,2502493.83589715,3826,1775
14,2012,7,201207,0.228857426906765,0.294360276069217,0.476782297024019,0.523217702975982,297017.702796791,1250,527
15,2012,7,201207,0.248047188118843,0.303177362180124,0.448775449701032,0.551224550298968,5664329.6801739,4772,2064
16,2012,7,201207,0.233000902356252,0.288358618276522,0.478640479367225,0.521359520632775,494300.949261358,1016,393
17,2012,7,201207,0.231445300198875,0.289876737139488,0.478677962661636,0.521322037338364,1040915.19190672,2146,910
21,2012,7,201207,0.242019122988867,0.270636359877657,0.487344517133477,0.512655482866523,4595923.4406841,8516,3824
22,2012,7,201207,0.236882383496325,0.297555092419512,0.465562524084163,0.534437475915837,2439535.17159149,3586,1451
23,2012,7,201207,0.21933120737343,0.266490615076764,0.514178177549807,0.485821822450193,6553486.45709757,7264,3090
24,2012,7,201207,0.221832273066702,0.259048800614113,0.519118926319185,0.480881073680815,2593599.68423062,3428,1368
25,2012,7,201207,0.245076151341946,0.266481258434144,0.48844259022391,0.51155740977609,2876894.47941457,3823,1570
26,2012,7,201207,0.225156809327707,0.259799975618593,0.5150432150537,0.4849567849463,6794084.95256489,5503,2320
27,2012,7,201207,0.219413721816822,0.250496033579001,0.530090244604177,0.469909755395824,2335052.42400849,5333,2613
28,2012,7,201207,0.236151648892977,0.270803788170932,0.493044562936091,0.506955437063909,1600539.1353185,2943,1101
29,2012,7,201207,0.233870385051488,0.276252494364156,0.489877120584356,0.510122879415644,10265631.7364899,6764,2561
31,2012,7,201207,0.195573882470716,0.29111422707975,0.513311890449535,0.486688109550465,15731665.7244212,10812,3903
32,2012,7,201207,0.186648666047262,0.284741665935044,0.528609668017694,0.471390331982306,2847245.52533701,5264,1857
33,2012,7,201207,0.189289906331198,0.254600007968038,0.556110085700765,0.443889914299235,12828102.7522121,10296,3934
35,2012,7,201207,0.193550134772183,0.255969868149925,0.550479997077892,0.449520002922108,33775189.4551139,11945,4089
41,2012,7,201207,0.191420159809281,0.288291306195034,0.520288533995684,0.479711466004316,8486501.66852149,7651,3597
42,2012,7,201207,0.189192154251964,0.289409133281413,0.521398712466623,0.478601287533377,5132551.3108961,8475,3913
43,2012,7,201207,0.19649440221263,0.282835418279661,0.520670179507709,0.479329820492291,8691979.52389724,7779,3597
