uf_code,date,year,month,pmc_retail_nominal_index
14,2012-01-01,2012,1,32.31778
14,2012-02-01,2012,2,32.04552
14,2012-03-01,2012,3,34.55035
14,2012-04-01,2012,4,31.88216
14,2012-05-01,2012,5,33.81524
14,2012-06-01,2012,6,34.06028
14,2012-07-01,2012,7,35.72109
14,2012-08-01,2012,8,37.95366
14,2012-09-01,2012,9,38.17147
14,2012-10-01,2012,10,38.22592
14,2012-11-01,2012,11,38.03534
14,2012-12-01,2012,12,43.67121
14,2013-01-01,2013,1,36.10226
14,2013-02-01,2013,2,35.99335
14,2013-03-01,2013,3,40.45849
14,2013-04-01,2013,4,40.40404
14,2013-05-01,2013,5,41.84704
14,2013-06-01,2013,6,39.26052
14,2013-07-01,2013,7,39.6417
14,2013-08-01,2013,8,40.29513
14,2013-09-01,2013,9,38.85213
14,2013-10-01,2013,10,39.7506
14,2013-11-01,2013,11,39.7506
14,2013-12-01,2013,12,48.05466
14,2014-01-01,2014,1,38.33483
14,2014-02-01,2014,2,37.68139
14,2014-03-01,2014,3,38.85213
14,2014-04-01,2014,4,43.9707
14,2014-05-01,2014,5,46.17604
14,2014-06-01,2014,6,44.43355
14,2014-07-01,2014,7,45.33202
14,2014-08-01,2014,8,45.30479
14,2014-09-01,2014,9,46.3394
