uf_code,date,credit_pf,year,month
27,2023-05-31,30821816312.29,2023,5
27,2023-06-30,30763187684.31,2023,6
27,2023-07-31,31031422167.51,2023,7
27,2023-08-31,31371317080.28,2023,8
27,2023-09-30,31596219789.39,2023,9
27,2023-10-31,31918752366.11,2023,10
27,2023-11-30,32393777925.09,2023,11
27,2023-12-31,32562723083.13,2023,12
28,2022-01-31,21083421801.12,2022,1
28,2022-02-28,21214851215.59,2022,2
28,2022-03-31,21542482388.3,2022,3
28,2022-04-30,21971123262.4,2022,4
28,2022-05-31,22394852491.03,2022,5
28,2022-06-30,22752773543.95,2022,6
28,2022-07-31,23085361113.09,2022,7
28,2022-08-31,23433492563.44,2022,8
28,2022-09-30,23726912127.36,2022,9
28,2022-10-31,24141533762.18,2022,10
28,2022-11-30,24506933197.29,2022,11
28,2022-12-31,24747064843.43,2022,12
28,2023-01-31,25076218800.72,2023,1
28,2023-02-28,25081666344.91,2023,2
28,2023-03-31,25425681610.37,2023,3
28,2023-04-30,25609757350.27,2023,4
28,2023-05-31,25917833364.54,2023,5
28,2023-06-30,25980504130.09,2023,6
28,2023-07-31,26235639890.13,2023,7
28,2023-08-31,26551182767.53,2023,8
28,2023-09-30,26756088533.29,2023,9
28,2023-10-31,27048177646.59,2023,10
28,2023-11-30,27409834356.07,2023,11
28,2023-12-31,27616064383.24,2023,12
29,2022-01-31,113342924672.38,2022,1
29,2022-02-28,114393735528.45,2022,2
29,2022-03-31,116016435963.25,2022,3
29,2022-04-30,118049406539.64,2022,4
29,2022-05-31,119867420847.5,2022,5
29,2022-06-30,121666119417.09,2022,6
29,2022-07-31,123332380635.98,2022,7
29,2022-08-31,125362199762.81999,2022,8
29,2022-09-30,127363920207.41,2022,9
29,2022-10-31,129216905239.21,2022,10
29,2022-11-30,131455678330.02,2022,11
29,2022-12-31,132963234169.58,2022,12
29,2023-01-31,134233075964.99,2023,1
29,2023-02-28,134719874803.57,2023,2
29,2023-03-31,136258780588.8,2023,3
29,2023-04-30,136558662692.44,2023,4
29,2023-05-31,137657046097.01,2023,5
29,2023-06-30,136956050010.61,2023,6
29,2023-07-31,137658002784.91,2023,7
29,2023-08-31,139232885406.52,2023,8
29,2023-09-30,140114211844.81,2023,9
29,2023-10-31,141559538060.91,2023,10
29,2023-11-30,143652361989.36,2023,11
29,2023-12-31,144971361446.41,2023,12
31,2022-01-31,260499971105.15,2022,1
31,2022-02-28,262501573604.72,2022,2
31,2022-03-31,266590033078.29,2022,3
31,2022-04-30,270113733048.36,2022,4
31,2022-05-31,274379233101.54,2022,5
31,2022-06-30,278286560765.61,2022,6
31,2022-07-31,282641718215.05,2022,7
31,2022-08-31,288507893326.71,2022,8
31,2022-09-30,293254442166.0,2022,9
31,2022-10-31,297727145020.1,2022,10
31,2022-11-30,302362244709.91,2022,11
31,2022-12-31,305446602855.51,2022,12
31,2023-01-31,309395517652.94,2023,1
31,2023-02-28,310677286851.85,2023,2
31,2023-03-31,314618563485.98,2023,3
31,2023-04-30,315809575396.75,2023,4
31,2023-05-31,318725320974.98,2023,5
31,2023-06-30,319146396002.75,2023,6
31,2023-07-31,321419788292.0,2023,7
31,2023-08-31,325810974689.02,2023,8
31,2023-09-30,328716608765.21,2023,9
31,2023-10-31,332552410491.82,2023,10
31,2023-11-30,336880026356.47,2023,11
31,2023-12-31,339384684106.08,2023,12
32,2022-01-31,41677391800.6,2022,1
