uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear
42,SC,Santa Catarina,2019.1,94.53104,2019,10,717,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.11,94.22354,2019,11,718,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.12,95.55944,2019,12,719,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
43,RS,Rio Grande do Sul,2016.01,81.94399,2016,1,672,-0.207600025,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.02,82.94642,2016,2,673,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.03,81.36135,2016,3,674,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.04,81.21639,2016,4,675,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.05,82.27582,2016,5,676,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.06,81.44766,2016,6,677,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.07,81.45439,2016,7,678,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.08,80.17075,2016,8,679,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.09,79.4462,2016,9,680,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.1,79.5866,2016,10,681,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.11,78.16745,2016,11,682,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2016.12,76.91349,2016,12,683,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2017.01,85.59411,2017,1,684,-0.224587529,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2017.02,82.66889,2017,2,685,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,,,,
43,RS,Rio Grande do Sul,2017.03,85.02355,2017,3,686,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443
43,RS,Rio Grande do Sul,2017.04,85.63771,2017,4,687,0.0,0.1774415847788763,0.2599622431894885,0.5625961720316351,8969511.85637443,0.1803796690150203,0.2594865984860462,0.5601337324989334,8965359.430391092
43,RS,Rio Grande do Sul,2017.05,85.27332,2017,5,688,0.0,0.1863537736285131,0.2585194542557137,0.5551267721157732,8956916.16422497,0.1834156893923691,0.2589950989591559,0.557589211648475,8961068.590208307
43,RS,Rio Grande do Sul,2017.06,87.08848,2017,6,689,0.0,0.1863537736285131,0.2585194542557137,0.5551267721157732,8956916.16422497,0.1863537736285131,0.2585194542557137,0.5551267721157732,8956916.16422497
43,RS,Rio Grande do Sul,2017.07,85.15032,2017,7,690,-0.328460526,0.1863537736285131,0.2585194542557137,0.5551267721157732,8956916.16422497,0.1846004270929834,0.2577893032357695,0.557610269671247,8953666.826069415
43,RS,Rio Grande do Sul,2017.08,87.81863,2017,8,691,0.0,0.1811502935875864,0.2563525544545889,0.5624971519578246,8947272.96711816,0.1828470805574538,0.2570591522158252,0.5600937672267209,8950417.48791386
43,RS,Rio Grande do Sul,2017.09,87.95117,2017,9,692,0.0,0.1811502935875864,0.2563525544545889,0.5624971519578246,8947272.96711816,0.1811502935875864,0.2563525544545889,0.5624971519578246,8947272.96711816
43,RS,Rio Grande do Sul,2017.1,88.53382,2017,10,693,-0.195035395,0.1811502935875864,0.2563525544545889,0.5624971519578246,8947272.96711816,0.1802821268711768,0.2584844928913496,0.5612333802374734,8959185.976299929
43,RS,Rio Grande do Sul,2017.11,88.70065,2017,11,694,0.0,0.1785737988163065,0.2626795975572337,0.5587466036264598,8982627.7040447,0.179441965532716,0.2605476591204729,0.560010375346811,8970714.694862932
43,RS,Rio Grande do Sul,2017.12,89.54013,2017,12,695,0.0,0.1785737988163065,0.2626795975572337,0.5587466036264598,8982627.7040447,0.1785737988163065,0.2626795975572337,0.5587466036264598,8982627.7040447
43,RS,Rio Grande do Sul,2018.01,90.30881,2018,1,696,0.0,0.1785737988163065,0.2626795975572337,0.5587466036264598,8982627.7040447,0.1814704576751531,0.2587610329846425,0.5597685093402043,8983801.535301875
43,RS,Rio Grande do Sul,2018.02,90.88393,2018,2,697,0.0,0.1869834535677967,0.2513031197658401,0.5617134266663631,8986035.60124295,0.18408679470895,0.2552216843384312,0.5606915209526186,8984861.769985775
43,RS,Rio Grande do Sul,2018.03,92.12606,2018,3,698,0.0,0.1869834535677967,0.2513031197658401,0.5617134266663631,8986035.60124295,0.1869834535677967,0.2513031197658401,0.5617134266663631,8986035.60124295
43,RS,Rio Grande do Sul,2018.04,91.65942,2018,4,699,0.0,0.1869834535677967,0.2513031197658401,0.5617134266663631,8986035.60124295,0.1854705927755003,0.251783566429924,0.5627458407945757,8986988.553945987
43,RS,Rio Grande do Sul,2018.05,91.0539,2018,5,700,0.08898676,0.1823944424978309,0.2527604746468948,0.5648450828552743,8988926.22444216,0.1839073032901273,0.2522800279828108,0.5638126687270618,8987973.271739123
43,RS,Rio Grande do Sul,2018.06,90.92017,2018,6,701,0.0,0.1823944424978309,0.2527604746468948,0.5648450828552743,8988926.22444216,0.1823944424978309,0.2527604746468948,0.5648450828552743,8988926.22444216
43,RS,Rio Grande do Sul,2018.07,87.8946,2018,7,702,0.0,0.1823944424978309,0.2527604746468948,0.5648450828552743,8988926.22444216,0.1816028424578146,0.2550836438078185,0.5633135137343669,8987384.725864079
43,RS,Rio Grande do Sul,2018.08,93.76181,2018,8,703,0.0,0.1800451778629439,0.259655041188991,0.5602997809480651,8984351.4544685,0.1808112424177983,0.2574068129687422,0.5617819446134594,8985843.227285998
43,RS,Rio Grande do Sul,2018.09,92.23642,2018,9,704,0.0,0.1800451778629439,0.259655041188991,0.5602997809480651,8984351.4544685,0.1800451778629439,0.259655041188991,0.5602997809480651,8984351.4544685
43,RS,Rio Grande do Sul,2018.1,91.11508,2018,10,705,0.0,0.1800451778629439,0.259655041188991,0.5602997809480651,8984351.4544685,0.1799034186502855,0.261444417363702,0.5586521639860125,9002609.492119761
43,RS,Rio Grande do Sul,2018.11,92.1428,2018,11,706,0.0,0.1796244731027965,0.2649654479010366,0.5554100789961669,9038536.59846579,0.1797662323154548,0.2631760717263255,0.5570576959582195,9020278.560814528
43,RS,Rio Grande do Sul,2018.12,92.47308,2018,12,707,0.0,0.1796244731027965,0.2649654479010366,0.5554100789961669,9038536.59846579,0.1796244731027965,0.2649654479010366,0.5554100789961669,9038536.59846579
