dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,WH2M,cW,16,-0.0288056908389847,-0.0505074829724425,-0.0071038987055268,0.0093626043928953,-0.0057381631515075,-0.07936510645578546,-0.05055941561680076,False,True
lp_controls,consumption,WH2M,cW,17,-0.0298402550508988,-0.0515900920064867,-0.0080904180953109,0.0093626043928953,-0.0058791732629119,-0.0813154313607182,-0.051475176309819404,False,True
lp_controls,consumption,WH2M,cW,18,-0.034285630940533,-0.0569081252707324,-0.0116631366103336,0.0093626043928953,-0.0060128620040156,-0.08316449366332064,-0.04887886272278764,False,True
lp_controls,consumption,WH2M,cW,19,-0.0320215503792221,-0.0557069852177988,-0.0083361155406453,0.0093626043928953,-0.0061396418314827,-0.08491799809282245,-0.05289644771360035,False,True
lp_controls,consumption,WH2M,cW,20,-0.0291112006688253,-0.0506258639427827,-0.007596537394868,0.0093626043928953,-0.0062599040294534,-0.08658135653916497,-0.05747015587033967,False,True
lp_controls,consumption,WH2M,cW,21,-0.0401763133925896,-0.0612714334839153,-0.019081193301264,0.0093626043928953,-0.0063740199125611,-0.08815970469205066,-0.04798339129946106,False,True
lp_controls,consumption,WH2M,cW,22,-0.0386790812386354,-0.0627435561191609,-0.01461460635811,0.0093626043928953,-0.0064823419659642,-0.0896579178088366,-0.0509788365702012,False,True
lp_controls,consumption,WH2M,cW,23,-0.0266703466065426,-0.0523625306515884,-0.0009781625614967255,0.0093626043928953,-0.0065852049239463,-0.09108062563276136,-0.06441027902621876,False,True
lp_controls,consumption,WH2M,cW,24,-0.0508788107791188,-0.0754453490439247,-0.0263122725143129,0.0093626043928953,-0.0066829267887927,-0.09243222648512729,-0.04155341570600849,False,True
lp_controls,consumption,WH2M,cW,25,-0.0467796728340703,-0.0710178075717642,-0.0225415380963764,0.0093626043928953,-0.0067758097903311,-0.0937169005368038,-0.0469372277027335,False,True
