dataset,response_label,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_wealth,wealth,20,0.39779377819267714,0.06350552117754736,-0.33428825701512976
lp_wealth,wealth,21,0.2976885968320997,0.06508779070600575,-0.23260080612609396
lp_wealth,wealth,22,0.4022299795228051,0.06658973038328735,-0.33564024913951773
lp_wealth,wealth,23,0.34696748589267773,0.06801598467065839,-0.27895150122201934
lp_wealth,wealth,24,0.6961457417260646,0.06937096764238353,-0.6267747740836811
lp_wealth,wealth,25,0.717170944736386,0.07065887708744417,-0.6465120676489418
lp_wealth,wealth,26,0.7132681967668325,0.0718837081656254,-0.6413844886012071
lp_wealth,wealth,27,0.7012870144336145,0.07304926676476264,-0.6282377476688519
lp_wealth,wealth,28,0.6003611131276501,0.07415918275508696,-0.5262019303725631
lp_wealth,wealth,29,0.3480891885943979,0.0752169234095399,-0.272872265184858
lp_wealth,wealth,30,0.2502643976670062,0.07622580736509763,-0.17403859030190857
lp_wealth,wealth,31,0.242131664250489,0.077189019651901,-0.16494264459858798
lp_wealth,wealth,32,0.19522890317680341,0.07810962852717479,-0.11711927464962862
lp_wealth,wealth,33,0.03607597758350879,0.07899060512859477,0.04291462754508597
lp_wealth,wealth,34,0.1788804342321269,0.0798348472961927,-0.09904558693593421
lp_wealth,wealth,35,0.2598632357450459,0.08064520923672963,-0.17921802650831625
lp_wealth,wealth,36,0.1281105428201274,0.08142453880941496,-0.04668600401071245
lp_wealth,wealth,37,-0.0837343970143573,0.08217572354275264,0.16591012055710994
lp_wealth,wealth,38,-0.1033764144149657,0.08290174370079495,0.18627815811576065
lp_wealth,wealth,39,-0.2204433816353995,0.08360572265880625,0.30404910429420573
lp_wealth,wealth,40,-0.096932772202576,0.0842909443786412,0.1812237165812172
lp_wealth,wealth,41,-0.0968265151590919,0.08496075892422816,0.18178727408332007
lp_wealth,wealth,42,-0.0267280054312294,0.08561818448532316,0.11234618991655256
lp_wealth,wealth,43,0.0332911654313777,0.08626476156927405,0.05297359613789635
lp_wealth,wealth,44,0.056539394386579594,0.08689765913354636,0.030358264746966762
lp_wealth,wealth,45,-0.0195264370167674,0.0875028518584753,0.1070292888752427
lp_wealth,wealth,46,-0.0280045676990246,0.08803989731238103,0.11604446501140563
lp_wealth,wealth,47,0.041805474357207204,0.0884107622637154,0.0466052879065082
