uf_code,uf,state_name,year,quarter,consumption_index,share_PH2M,share_WH2M,share_Ricardian,total_weight,mp_shock_quarterly,macro_region,t_index,t_order
24,RN,Rio Grande do Norte,2017,4,98.55419,0.2140606644905682,0.2567843504463881,0.5291549850630436,2628099.51098226,-0.195035395,Northeast,2017Q4,8072
24,RN,Rio Grande do Norte,2018,1,105.61948333333333,0.2134275781430697,0.24897836731976,0.5375940545371701,2631938.02396122,0.0,Northeast,2018Q1,8073
24,RN,Rio Grande do Norte,2018,2,103.88094000000001,0.22744582872344,0.2303951680848864,0.5421590031916735,2638850.43726988,0.08898676,Northeast,2018Q2,8074
24,RN,Rio Grande do Norte,2018,3,102.22345666666666,0.2255937766003682,0.2436402850450485,0.5307659383545831,2636123.70421844,0.0,Northeast,2018Q3,8075
24,RN,Rio Grande do Norte,2018,4,101.73716333333334,0.212813026202032,0.2397181689884109,0.5474688048095571,2648328.78545448,0.0,Northeast,2018Q4,8076
24,RN,Rio Grande do Norte,2019,1,104.44698999999999,0.2105849414293366,0.2388921059117511,0.5505229526589123,2628237.96248964,0.0,Northeast,2019Q1,8077
24,RN,Rio Grande do Norte,2019,2,102.92169999999999,0.2163437058814106,0.2410379859769927,0.5426183081415966,2639381.79618164,0.0,Northeast,2019Q2,8078
24,RN,Rio Grande do Norte,2019,3,102.51578,0.2135184707605488,0.24271078400792,0.543770745231531,2621308.92662989,-0.104547698,Northeast,2019Q3,8079
24,RN,Rio Grande do Norte,2019,4,103.65237666666667,0.2108094440100477,0.2365123056239817,0.5526782503659704,2624682.62372808,0.0,Northeast,2019Q4,8080
24,RN,Rio Grande do Norte,2020,1,100.63196666666666,0.2159216097026681,0.2385885197102199,0.545489870587112,2635857.62779684,0.0,Northeast,2020Q1,8081
24,RN,Rio Grande do Norte,2020,2,87.82671,0.1858710738959351,0.2314292580252712,0.5826996680787936,2684954.40900933,-0.293676167,Northeast,2020Q2,8082
24,RN,Rio Grande do Norte,2020,3,103.61189333333334,0.2195936612943286,0.2259684647328461,0.5544378739728252,2654877.78655584,-0.084446286,Northeast,2020Q3,8083
24,RN,Rio Grande do Norte,2020,4,106.07423333333332,0.2368154890311181,0.2117504114443336,0.5514340995245484,2684148.33340202,0.0,Northeast,2020Q4,8084
25,PB,Paraíba,2015,1,96.27511333333332,0.2310130224528727,0.2628515669348486,0.5061354106122786,2918037.72099302,0.092851242,Northeast,2015Q1,8061
25,PB,Paraíba,2015,2,93.50956333333333,0.2349294547850326,0.2561130842877955,0.5089574609271718,2947491.79053365,0.0,Northeast,2015Q2,8062
25,PB,Paraíba,2015,3,93.04634666666668,0.2350070904444915,0.2458922358126553,0.5191006737428532,2958637.31126474,0.077390703,Northeast,2015Q3,8063
25,PB,Paraíba,2015,4,89.82029999999999,0.2200182659081937,0.2688597741381238,0.5111219599536823,2971980.23441193,0.0,Northeast,2015Q4,8064
