horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,state_regime,switching_var,logistic_gamma,spec
45,mp_neg_x_ph2m,-12.493231385144117,-28.660924227514656,3.674461457226421,9.829259319770182,0.01134040072148436,-0.1416782502137594,-0.3250263657881158,0.04166986536059698,1296,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
46,mp_neg_x_ph2m,-30.882332965523613,-48.38774561212874,-13.37692031891849,10.642535213938272,0.01134040072148436,-0.35021803104334426,-0.5487364252507865,-0.15169963683590204,1269,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
47,mp_neg_x_ph2m,-13.603411442250403,-36.856139598504875,9.649316714004067,14.136654943182066,0.01134040072148436,-0.15426813693434507,-0.417963392094013,0.10942711822532282,1242,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
48,mp_neg_x_ph2m,-36.73159989092661,-62.02590499030572,-11.437294791547505,15.377845593628233,0.01134040072148436,-0.416551061904339,-0.7033986177027833,-0.12970350610589465,1215,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
0,mp_pos_x_wh2m,7.48278192996235,-7.558845355270385,22.524409215195085,9.144660071127722,0.009362604392895343,0.07005832696854339,-0.07077047872847107,0.21088713266555786,2511,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
1,mp_pos_x_wh2m,-12.065566131917773,-39.597993245783,15.466860981947455,16.738527162987204,0.009362604392895343,-0.11296512246946261,-0.37074034551280804,0.14481010057388283,2484,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
2,mp_pos_x_wh2m,-12.910929768616535,-55.17988177443438,29.35802223720131,25.697698149687646,0.009362604392895343,-0.12087992776801243,-0.516627403500765,0.27486754796474017,2457,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
3,mp_pos_x_wh2m,8.83613125096368,-32.41076880503666,50.083031306964024,25.07633468422735,0.009362604392895343,0.08272920126647237,-0.3034492063911516,0.4689076089240964,2430,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
4,mp_pos_x_wh2m,30.495541758202314,9.349390389371258,51.64169312703337,12.855947193321255,0.009362604392895343,0.28551769322906834,0.08753464353042084,0.4835007429277159,2403,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
5,mp_pos_x_wh2m,38.986312060496296,-6.116261374098656,84.08888549509125,27.42041765636428,0.009362604392895343,0.3650134165603913,-0.05726413560923218,0.7872909687300148,2376,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
6,mp_pos_x_wh2m,5.950306743857556,-20.876030422340612,32.776643910055725,16.309254955358792,0.009362604392895343,0.05571036805911554,-0.19545401413842303,0.3068747502566541,2349,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
7,mp_pos_x_wh2m,25.2056627205744,-22.861777715952027,73.27310315710082,29.22292880589828,0.009362604392895343,0.23599064851348825,-0.21404578047276931,0.6860270774997458,2322,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
8,mp_pos_x_wh2m,34.462959188626925,3.8595145715856845,65.06640380566816,18.605573234963682,0.009362604392895343,0.32266305309161136,0.03613510808237172,0.609190998100851,2295,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
9,mp_pos_x_wh2m,28.49283431104565,-0.12613142005072575,57.11180004214203,17.399095738468848,0.009362604392895343,0.2667671356866352,-0.0011809185874490527,0.5347151899607194,2268,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
10,mp_pos_x_wh2m,32.093515186048734,-4.501824619401546,68.68885499149901,22.248386850856217,0.009362604392895343,0.30047888626435326,-0.042148802957653324,0.6431065754863599,2241,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
11,mp_pos_x_wh2m,33.79427224242142,3.9170366298456685,63.671507854997174,18.164069509303047,0.009362604392895343,0.31640240175159595,0.036673664357725025,0.5961311391454669,2214,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
12,mp_pos_x_wh2m,28.66492830464838,-1.7513767265507312,59.08123333584749,18.491800445229824,0.009362604392895343,0.268378383667131,-0.016397447433618543,0.5531542147678805,2187,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
13,mp_pos_x_wh2m,35.63230722122194,-7.201502338369053,78.46611678081294,26.041107158561005,0.009362604392895343,0.333611196118409,-0.06742481742866019,0.7346472096654783,2160,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
14,mp_pos_x_wh2m,20.785491701695864,-24.16269130065321,65.73367470404494,27.326554938298592,0.009362604392895343,0.1946063359147874,-0.22622571971566985,0.6154383915452447,2133,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
15,mp_pos_x_wh2m,44.620786649808096,13.807262167172937,75.43431113244326,18.733292724498614,0.009362604392895343,0.41776677310193916,0.12927193342023102,0.7062616127836473,2106,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
16,mp_pos_x_wh2m,48.399424296392795,16.791583365811864,80.00726522697373,19.216202835727138,0.009362604392895343,0.45314466253101277,0.15721295218441853,0.7490763728776071,2079,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
17,mp_pos_x_wh2m,47.16499898634113,-7.018054090193203,101.34805206287547,32.94095729171706,0.009362604392895343,0.4415872267004219,-0.06570726405442001,0.9488817174552638,2052,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
18,mp_pos_x_wh2m,71.37935954778403,41.18270892470376,101.57601017086431,18.35826004715444,0.009362604392895343,0.668296705264139,0.38557741148976166,0.9510159990385162,2025,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
19,mp_pos_x_wh2m,53.606987120248256,24.261586091369036,82.95238814912747,17.840737040697785,0.009362604392895343,0.5019010131019204,0.2271516325176603,0.7766503936861805,1998,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
20,mp_pos_x_wh2m,16.531412293222424,-55.08512866991635,88.1479532563612,43.539765356429314,0.009362604392895343,0.15477707335728835,-0.515740267668164,0.8252944143827408,1971,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
21,mp_pos_x_wh2m,20.79958185623453,-39.340135959437504,80.93929967190655,36.56235231528376,0.009362604392895343,0.19473825645756768,-0.3683261297509296,0.7578026426660649,1944,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
22,mp_pos_x_wh2m,57.07237883421181,1.4142625030094464,112.73049516541417,33.8377320748945,0.009362604392895343,0.5343461047861787,0.013241180323383407,1.0554510292489738,1917,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
23,mp_pos_x_wh2m,83.17571763809951,13.907170132333007,152.444265143866,42.112286692735694,0.009362604392895343,0.7787413393406931,0.13020733217372393,1.4272753465076622,1890,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
24,mp_pos_x_wh2m,-127.43968139349701,-174.02672618105575,-80.85263660593827,28.32291215717592,0.009362604392895343,-1.193167320843938,-1.6293433910239477,-0.7569912506639285,1863,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
