horizon,agent_type,estimate,conf_low,conf_high,uf_code,region
14,Ricardian,18.00729554886689,3.1243548395102163,32.89023625822356,35,Southeast
14,PH2M,3.813938871401387,-14.022704212655015,21.65058195545779,35,Southeast
14,WH2M,14.201580501033437,-1.9970790768311808,30.400240078898054,35,Southeast
15,Ricardian,48.51719172052093,38.77020672567957,58.26417671536228,35,Southeast
15,PH2M,10.465181591635897,-1.3509400459245704,22.281303229196364,35,Southeast
15,WH2M,38.08174825119286,26.917829416298066,49.245667086087664,35,Southeast
16,Ricardian,19.38334545359554,4.796088642038441,33.970602265152635,35,Southeast
16,PH2M,4.71334245669609,-13.066745682914455,22.493430596306634,35,Southeast
16,WH2M,14.62951148100569,-1.4741880035787638,30.733210965590143,35,Southeast
17,Ricardian,16.58349606811417,0.9222838415095911,32.24470829471875,35,Southeast
17,PH2M,5.7099067000351535,-12.535783465183494,23.955596865253803,35,Southeast
17,WH2M,10.873424536859803,-6.230627251210281,27.97747632492989,35,Southeast
18,Ricardian,13.311372894363718,1.9961690701585102,24.626576718568927,35,Southeast
18,PH2M,3.44474091544428,-9.716146794645223,16.605628625533782,35,Southeast
18,WH2M,9.838266277494558,-2.691696203565961,22.368228758555077,35,Southeast
19,Ricardian,23.106969307165627,7.829123340451398,38.38481527387986,35,Southeast
19,PH2M,7.095103473586082,-10.959794836625928,25.150001783798093,35,Southeast
19,WH2M,16.012182829903185,-0.47207327975645796,32.49643893956283,35,Southeast
20,Ricardian,30.556781615048184,16.563682701406176,44.549880528690196,35,Southeast
20,PH2M,7.008185688258905,-9.097424556137945,23.113795932655755,35,Southeast
20,WH2M,23.602201013206184,8.292843368164124,38.91155865824824,35,Southeast
21,Ricardian,18.518001817130035,7.343626243888124,29.692377390371945,35,Southeast
21,PH2M,8.049062558824343,-5.839600652276879,21.937725769925564,35,Southeast
21,WH2M,10.510715806965772,-1.345737943701259,22.367169557632803,35,Southeast
22,Ricardian,32.552180996445145,23.679029080498225,41.425332912392065,35,Southeast
22,PH2M,7.3430097756910975,-3.529905805231497,18.215925356613692,35,Southeast
22,WH2M,25.21702804717755,15.151730465688136,35.28232562866697,35,Southeast
23,Ricardian,23.95589620556295,6.500597778040937,41.41119463308496,35,Southeast
23,PH2M,5.908917365734602,-13.89482617234616,25.712660903815365,35,Southeast
23,WH2M,18.06550141339309,-1.696323902378186,37.82732672916437,35,Southeast
24,Ricardian,15.779263815526036,-5.476589892682966,37.03511752373504,35,Southeast
24,PH2M,3.799685030823028,-20.814100016856173,28.41347007850223,35,Southeast
24,WH2M,11.944176764722094,-11.148485102513888,35.03683863195808,35,Southeast
0,Ricardian,-30.182751587055304,-51.08176462740651,-9.2837385467041,41,South
0,PH2M,-20.878488372428883,-43.96880372111201,2.2118269762542475,41,South
0,WH2M,-9.173214558994331,-33.59020737994278,15.243778261954123,41,South
1,Ricardian,-20.33001897262082,-29.959908593011477,-10.700129352230162,41,South
1,PH2M,-14.571296069384818,-24.922569170866762,-4.2200229679028745,41,South
1,WH2M,-5.688953906530699,-17.858035187356954,6.480127374295556,41,South
2,Ricardian,-36.58063101250906,-49.53246691297325,-23.628795112044866,41,South
2,PH2M,-24.51059522550203,-38.414396190839156,-10.606794260164905,41,South
2,WH2M,-11.951463356259726,-28.515107104447484,4.612180391928032,41,South
3,Ricardian,-14.279337191918135,-38.762529858661125,10.203855474824856,41,South
3,PH2M,-9.275784834471985,-35.707327569446996,17.155757900503026,41,South
3,WH2M,-4.911171472030237,-33.84562475734165,24.023281813281177,41,South
4,Ricardian,2.951910354142626,-17.473074328422626,23.37689503670788,41,South
4,PH2M,-0.2633978345621948,-21.945505247059987,21.418709577935598,41,South
4,WH2M,3.1597323820131322,-21.991790037997,28.311254802023264,41,South
5,Ricardian,41.71963176957711,32.458636734580516,50.98062680457371,41,South
5,PH2M,20.975365241607552,11.41827985265757,30.532450630557534,41,South
5,WH2M,20.490405109404648,8.798107981915487,32.18270223689381,41,South
6,Ricardian,24.750582211839358,14.018522558446787,35.482641865231926,41,South
6,PH2M,12.414902094662391,1.3503771437257779,23.479427045599003,41,South
6,WH2M,12.174927870583653,-1.3592163630857215,25.70907210425303,41,South
7,Ricardian,-10.753004044550996,-21.394219752037436,-0.11178833706455471,41,South
7,PH2M,-5.052892486024581,-16.086679197662136,5.980894225612972,41,South
7,WH2M,-5.6609337036917795,-19.075607393719817,7.753739986336259,41,South
8,Ricardian,-18.653791468995514,-32.70830016399419,-4.5992827739968405,41,South
8,PH2M,-10.460191752702034,-25.2977322796204,4.377348774216333,41,South
8,WH2M,-8.173801645796278,-25.344391702214086,8.99678841062153,41,South
9,Ricardian,-1.67694868960966,-25.963718608839912,22.609821229620593,41,South
9,PH2M,0.4736021608198189,-25.80399992660858,26.751204248248218,41,South
9,WH2M,-2.146786518744646,-32.040874652760024,27.74730161527073,41,South
10,Ricardian,31.95007699318779,23.234905659816462,40.665248326559116,41,South
10,PH2M,16.741029496629764,7.696827218446883,25.785231774812644,41,South
10,WH2M,15.05108399217118,4.176767572520468,25.92540041182189,41,South
11,Ricardian,7.168333650077406,-12.180591301425912,26.51725860158072,41,South
11,PH2M,2.602411374213843,-18.286418846060798,23.491241594488486,41,South
11,WH2M,4.541903702158191,-19.12733645086136,28.211143855177742,41,South
12,Ricardian,5.768904444304862,-4.348254593579037,15.886063482188762,41,South
12,PH2M,1.2276153865126984,-10.144650316277204,12.599881089302599,41,South
12,WH2M,4.5043803369043935,-7.624302815590495,16.633063489399284,41,South
13,Ricardian,-3.3776867411501144,-10.504432980871108,3.7490594985708787,41,South
13,PH2M,-1.6479378936443876,-9.083713476331855,5.78783768904308,41,South
13,WH2M,-1.7991510337453156,-11.379653655817373,7.781351588326741,41,South
14,Ricardian,1.454508842806085,-9.819338905356107,12.728356590968277,41,South
14,PH2M,-3.9705483376521133,-16.195175375430182,8.254078700125957,41,South
14,WH2M,5.332802970008418,-8.478399889666877,19.144005829683714,41,South
15,Ricardian,-18.15797588533882,-26.16900157998726,-10.146950190690385,41,South
15,PH2M,-14.112242879473126,-22.615356349690877,-5.609129409255374,41,South
15,WH2M,-3.9905183505075623,-13.620346332251373,5.639309631236248,41,South
16,Ricardian,-15.23217220957798,-28.762032445137613,-1.7023119740183468,41,South
16,PH2M,-6.646598491371067,-20.51956506042067,7.226368077678536,41,South
