region,horizon,coefficient,estimate,std_error,conf_low,conf_high
South,12,ricardian,0.36557406847134705,3.2030696581450564,-5.994195823707312,6.725343960650006
South,12,ph2m_diff,-6.413286874121155,16.49452273664821,-39.163548430137865,26.336974681895555
South,12,wh2m_diff,3.1278801344769565,0.7285478810619882,1.6813312381061365,4.574429030847776
South,13,ricardian,-0.8919036294482748,2.941607543926181,-6.735045651968701,4.951238393072151
South,13,ph2m_diff,-2.7470429087055264,12.37077158749988,-27.320060972646225,21.82597515523517
South,13,wh2m_diff,4.9962955160528715,2.9327725070568182,-0.8292967910718065,10.82188782317755
South,14,ricardian,2.7515583062570417,2.022717100152529,-1.2681668862967723,6.771283498810856
South,14,ph2m_diff,-19.21517907738545,10.659531935343384,-40.39875885633754,1.9684007015666367
South,14,wh2m_diff,2.7037550421466254,0.6683738377993649,1.3755024883696358,4.032007595923615
South,15,ricardian,3.742252611539593,5.465679773557578,-7.124983074772306,14.609488297851492
South,15,ph2m_diff,-24.1541296029585,22.221777011408214,-68.33697568185653,20.02871647593954
South,15,wh2m_diff,2.399736255529924,5.597962583188345,-8.730513095881747,13.529985606941597
South,16,ricardian,-4.416687373723495,2.8401709546320926,-10.06669215921341,1.2333174117664196
South,16,ph2m_diff,13.226878187949103,11.210131868399102,-9.073645165805305,35.52740154170351
South,16,wh2m_diff,7.315743806943524,6.6335371827444085,-5.880474810145384,20.511962424032433
South,17,ricardian,-5.4186969297438194,3.9046557504695327,-13.190719789142182,2.3533259296545426
South,17,ph2m_diff,19.432705857810355,13.934266257661502,-8.302757344154571,47.16816905977528
South,17,wh2m_diff,6.71357687530767,6.183266267965964,-5.593906767674046,19.021060518289385
South,18,ricardian,-2.1949462877415167,0.5661263233497871,-3.322484579556126,-1.0674079959269074
South,18,ph2m_diff,2.6279696109509425,7.249782468188088,-11.81122355682136,17.067162778723244
South,18,wh2m_diff,6.323882439715256,4.074629879820938,-1.7914462863638336,14.439211165794347
South,19,ricardian,-2.7498131814168594,1.6535496587115346,-6.045332898745098,0.5457065359113793
South,19,ph2m_diff,2.900087389308834,11.607972426132404,-20.234568293381734,26.0347430719994
South,19,wh2m_diff,8.265534792373327,2.7672806657314744,2.750352379039934,13.780717205706718
South,20,ricardian,-5.154745587738434,0.4467350484178078,-6.045730547431807,-4.263760628045061
South,20,ph2m_diff,8.14133800446123,3.3537847480008014,1.4524252381562572,14.830250770766204
South,20,wh2m_diff,13.728354740831534,3.382500746379196,6.98216972165913,20.47453976000394
South,21,ricardian,-2.2249726807429906,0.8195369122488622,-3.860775204023816,-0.5891701574621655
South,21,ph2m_diff,-2.5747343434479744,6.230064532386138,-15.00999519620741,9.860526509311459
