level,frequency,group,outcome,horizon,n_obs,estimate,std_error,ci_low,ci_high,p_value,shock_sd,irf_pos_1sd,irf_neg_1sd,inference,model_id
state,quarterly,21,consumption_index,3,20,0.06422795410894942,0.07152626865313169,-0.07596353245118868,0.20441944066908752,0.36920519108081273,0.1134395615862862,0.007285990955703332,-0.007285990955703332,newey-west,state_21_consumption_index
state,quarterly,22,consumption_index,3,20,0.07216458980193038,0.1596256576564906,-0.24070169920479115,0.38503087880865194,0.6512067367742822,0.1134395615862862,0.008186319429185162,-0.008186319429185162,newey-west,state_22_consumption_index
state,quarterly,23,consumption_index,3,20,0.13331554822331124,0.1805120344255,-0.22048803925066876,0.48711913569729126,0.46018572902334376,0.1134395615862862,0.015123257343087821,-0.015123257343087821,newey-west,state_23_consumption_index
state,quarterly,24,consumption_index,3,20,-0.025703339705082793,0.1298503204635722,-0.28020996781368435,0.22880328840351874,0.8430873846565095,0.1134395615862862,-0.0029157755874479746,0.0029157755874479746,newey-west,state_24_consumption_index
state,quarterly,25,consumption_index,3,20,0.03581762452983921,0.12557211443957417,-0.21030371977172616,0.28193896883140457,0.7754637263884365,0.1134395615862862,0.0040631356237271704,-0.0040631356237271704,newey-west,state_25_consumption_index
state,quarterly,26,consumption_index,3,20,0.12073614945730296,0.10004527050266698,-0.07535258072792433,0.31682487964253025,0.2275033351228477,0.1134395615862862,0.013696255862052774,-0.013696255862052774,newey-west,state_26_consumption_index
state,quarterly,27,consumption_index,3,20,0.06316023125802998,0.12669410983672982,-0.18516022402196047,0.3114806865380204,0.6181137739299767,0.1134395615862862,0.007164868943599371,-0.007164868943599371,newey-west,state_27_consumption_index
state,quarterly,28,consumption_index,3,20,0.00475436266551911,0.07523348258835268,-0.14270326320765214,0.15221198853869033,0.9496114090005203,0.1134395615862862,0.0005393328163986949,-0.0005393328163986949,newey-west,state_28_consumption_index
state,quarterly,29,consumption_index,3,20,0.12547161337749832,0.09155090155258748,-0.05396815366557314,0.30491138042056976,0.17052711781093777,0.1134395615862862,0.014233444813067412,-0.014233444813067412,newey-west,state_29_consumption_index
state,quarterly,31,consumption_index,3,20,0.10042454898432861,0.07510174194391493,-0.04677486522574466,0.24762396319440189,0.18116388127631322,0.1134395615862862,0.01139211680928276,-0.01139211680928276,newey-west,state_31_consumption_index
state,quarterly,32,consumption_index,3,20,0.001341486822837648,0.13323071422479474,-0.25979071305776,0.2624736867034353,0.9919663153868201,0.1134395615862862,0.00015217767705648277,-0.00015217767705648277,newey-west,state_32_consumption_index
state,quarterly,33,consumption_index,3,20,0.06774365354020262,0.061563429746769996,-0.05292066876346657,0.1884079758438718,0.2711631456527397,0.1134395615862862,0.00768481035785385,-0.00768481035785385,newey-west,state_33_consumption_index
state,quarterly,35,consumption_index,3,20,0.05427175621459343,0.09396756123190611,-0.12990466379994253,0.2384481762291294,0.5635622860137848,0.1134395615862862,0.006156564231501282,-0.006156564231501282,newey-west,state_35_consumption_index
state,quarterly,41,consumption_index,3,20,0.05669564570675305,0.0463916612598584,-0.03423201036256941,0.14762330177607552,0.2216665816209591,0.1134395615862862,0.006431529192825475,-0.006431529192825475,newey-west,state_41_consumption_index
state,quarterly,42,consumption_index,3,20,0.15597869370940345,0.0825154415596847,-0.005751571747578538,0.3177089591663854,0.058718246437851285,0.1134395615862862,0.017694154631196345,-0.017694154631196345,newey-west,state_42_consumption_index
state,quarterly,43,consumption_index,3,20,-0.006804751565544387,0.058955273297341064,-0.12235708722833287,0.1087475840972441,0.908110426767545,0.1134395615862862,-0.0007719280342989499,0.0007719280342989499,newey-west,state_43_consumption_index
state,quarterly,50,consumption_index,3,20,0.12286146873605461,0.04155386696902773,0.04141588947676027,0.20430704799534893,0.0031097111746463124,0.1134395615862862,0.013937351149265243,-0.013937351149265243,newey-west,state_50_consumption_index
state,quarterly,51,consumption_index,3,20,0.07586815259063247,0.12975376630525642,-0.17844922936767016,0.33018553454893507,0.5587436209403915,0.1134395615862862,0.008606449968242811,-0.008606449968242811,newey-west,state_51_consumption_index
state,quarterly,52,consumption_index,3,20,0.036468662902677855,0.08027771181633266,-0.12087565225733415,0.19381297806268988,0.6496263770725834,0.1134395615862862,0.004136989131317835,-0.004136989131317835,newey-west,state_52_consumption_index
state,quarterly,53,consumption_index,3,20,0.032137216617413575,0.09037895879619787,-0.14500554262313425,0.20927997585796138,0.7221529155275928,0.1134395615862862,0.003645631763682907,-0.003645631763682907,newey-west,state_53_consumption_index
state,quarterly,11,consumption_index,4,19,-0.10426334236795853,0.08333609934887042,-0.26760209709174454,0.05907541235582747,0.21089121734128735,0.1134395615862862,-0.011827587847742075,0.011827587847742075,newey-west,state_11_consumption_index
state,quarterly,12,consumption_index,4,19,-0.17928423073801697,0.10974771982723364,-0.3943897615993949,0.03582130012336096,0.10234218698629349,0.1134395615862862,-0.02033792453425522,0.02033792453425522,newey-west,state_12_consumption_index
state,quarterly,13,consumption_index,4,19,-0.24085973255513443,0.14932921981630853,-0.5335450033950991,0.051825538284830275,0.10675658242310981,0.1134395615862862,-0.027323022464844596,0.027323022464844596,newey-west,state_13_consumption_index
state,quarterly,14,consumption_index,4,19,0.11790765752777786,0.10380569176707855,-0.08555149833569607,0.3213668133912518,0.25601949818002523,0.1134395615862862,0.013375392977617098,-0.013375392977617098,newey-west,state_14_consumption_index
state,quarterly,15,consumption_index,4,19,-0.22067377359042187,0.10906730710410721,-0.434445695514472,-0.00690185166637175,0.04304421922291124,0.1134395615862862,-0.025033136129688837,0.025033136129688837,newey-west,state_15_consumption_index
