draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,theta_wP_c,theta_wP_d,theta_wP_tp,theta_wW_c,theta_wW_d,theta_wW_b
11,0.4723953504465803,0.010956625469478107,0.06,0.4014387249771022,-5.264913181762099,-3.2457040049652477,0.09625053194260672,0.09353996982754159,0.2669384864609612,0.13786374779134486,0.05463731609386856,0.7255629395574885,1.15082212796287,0.13723023594174516,0.9574902613948488,0.7490718489490066,0.34891966978182937,0.015255796559634618,0.21822606821369966,2.0,-0.49283200753463163,0.5030935222418069,0.45824369314778424,0.5589438077245464,0.2309705796635179
1093,0.4725201777623908,0.010572233370106075,0.09,0.37194794439228474,-5.257585379245027,-3.923463849560961,0.08718351559005887,0.08447295347499376,0.4822460621886069,0.1288342085076948,0.045532822672422923,0.6697124284564134,0.7576721555446246,0.14375287546084053,0.9049948797426731,0.811715315905194,0.5047348419605632,0.0576229784569814,0.319373658012346,1.7321725147505895,-0.45379945241618286,-0.10338081287290944,0.7464351280674056,-0.33940341432003507,-0.9696188491836157
454,0.47255965572565156,0.011148390602039817,0.06,0.40141126512361175,-5.469166198654152,-3.1743919474623783,0.09980889169061397,0.09709832957554887,0.22316994422321632,0.13813488704079918,0.061482896340428764,0.6940790357372404,0.9589096152173724,0.14329689225007647,0.9842011426158656,0.8167981372216113,0.46832604098369324,0.01,0.15650497279365658,-0.10141921425626155,0.22760349977054378,-0.8173496879204757,1.7533464195516297,0.018147938913572238,-0.1465121514610013
232,0.4726541394801569,0.012788604937295285,0.06,0.3998655345428616,-6.747822316650094,-5.046406839923072,0.10300644884799226,0.10029588673292716,0.42806556621954994,0.1433800570534586,0.06263284064252592,0.690009712172208,0.8391774087617379,0.19090167664975913,0.9433649833686237,0.8927342794258154,0.35317182449048556,0.09009174944268675,0.20943084175686408,1.1557250593429231,0.15494771219833614,0.29107353532174857,1.2021740056361143,-0.5062859871148339,-0.8099204473774296
643,0.47277372994137823,0.011349283223107248,0.09,0.371424446718271,-6.328588951491001,-5.067102021279485,0.093104041699059,0.09039347958399391,0.45429901518838134,0.1327892596797935,0.05341882371832453,0.6368062348514226,0.782282491316927,0.05614434975422751,0.8958737483145578,0.6808057070146004,0.3574442922533439,0.10924601409025556,0.2723532533723009,1.1244438912407007,-1.2068279166487936,-0.35820105511262873,1.2767272712226083,0.11648175956850297,-1.2924178928122232
210,0.473483161262238,0.015097935491390522,0.09,0.3683852257708475,-7.673514373235586,-5.957124828452398,0.10229580833152496,0.09958524621645984,0.631751790434574,0.13568974194529976,0.06890187471775015,0.6600879501847916,1.3136936154221002,0.10773223581470742,0.9819048634388498,0.36669428242183405,0.8048379700226513,0.15258303686828506,0.15263318370910933,0.9827000026411992,-1.6620764172917122,1.0976713377951324,0.3599408889720541,-1.5569987264143936,-1.681977747630519
895,0.47392854893143516,0.011913248581615084,0.06,0.4020153003498201,-6.058581390620894,-3.8634738922340373,0.10269986314604042,0.09998930103097531,0.2821147582738348,0.14063573633189597,0.06476398996018487,0.6745123080667415,0.8262948698943013,0.144437515121875,0.8655130858344657,0.8164356018820573,0.44290108058289324,0.03711902755580558,0.15363890537532043,0.985338259080207,0.5394561039735304,0.03445546486781131,1.654304656493458,0.3481964675670103,-0.03572478379813197
406,0.4742566463764638,0.010815789287604492,0.06,0.40344085708885935,-5.107922864639669,-3.4668686552030024,0.09345515717982043,0.09074459506475535,0.3080403000271206,0.13870435544837226,0.048205958911268595,0.7081916449755822,0.7729797103513507,0.18561277562871875,0.8944133627113858,0.8323946788648311,0.4762631895103249,0.02671667900673544,0.30434536368398135,0.6668644334978768,0.23168814059531434,0.016953222906027306,0.8176391940879141,-0.1968856992879964,-0.3048725954494121
1080,0.4749632456477706,0.013968037834625236,0.09,0.3709952078131454,-9.171217711963125,-7.200111053987839,0.1128472324501327,0.11013667033506762,0.3950083729442328,0.14161066447413723,0.0840838004261282,0.6839162015714663,1.0146788376725757,0.3717434231206992,0.7036087101663839,0.5266485878690926,0.6611361558367135,0.2227877686992849,0.09284668170767263,-1.1604659243781819,1.792137929936918,1.1091884176177222,-0.6157209300484681,-0.5694607676814871,-0.1218645173346582
776,0.47513391175313846,0.012474040018447378,0.06,0.4026598717346911,-6.339448989060603,-3.8548365471145467,0.10759738208544853,0.10488681997038342,0.2718726111747107,0.14158174354005096,0.0736130206308461,0.6598996832492346,1.0416693455432648,0.09739647143089386,0.8720388883486385,0.6889742419900673,0.3821569251208775,0.03463648439617273,0.10050361617083442,0.8600005952946421,-0.3047845423449101,0.4740066591670992,1.2537884430140953,-0.42458245865957805,-0.2751304556555441
