draw,loss,mse,sign_penalty,persistence_penalty,impact_ph_model,impact_wh_model,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
389,0.05939855813126684,0.01109642980352024,0.04,0.008302128327746598,-0.04667044654626836,-0.039063217418984775,0.6622501058441567,1.2259482919091584,0.06469478893582366,0.98,0.7338262004326727,0.7899074894904224,0.0723519235506239,0.20425762531394867
231,0.05952928492356208,0.011285507238126989,0.04,0.008243777685435093,-0.050365754274285385,-0.04500281094693382,0.6334628951827699,0.8194094900876904,0.1633309101077536,0.9060166621090405,0.8221341606597384,0.46274635015725485,0.10587894377006704,0.21152305909276803
222,0.05962106672943387,0.010886684168065411,0.04,0.008734382561368456,-0.035213623100336544,-0.026258805951848797,0.6283762926420073,0.47604949280849906,0.09370724740927344,0.827690606608942,0.69396976289184,0.4792230494930833,0.01,0.32132066509233753
344,0.05967255653878918,0.011216461521492176,0.04,0.008456095017297006,-0.04126917574287648,-0.028861882084739183,0.6484018633059729,0.6322766137750425,0.27159483169042586,0.98,0.714023867966539,0.5932506708408827,0.018568439193210974,0.15635550541935472
212,0.05968120190809404,0.011035985136489823,0.04,0.008645216771604215,-0.03890073870242324,-0.03072095267779326,0.6003421635996491,0.4046818831999635,0.09902206644982878,0.98,0.7355380581985425,0.5921907669433413,0.029651647531832286,0.2838873630003348
263,0.0597144202092429,0.011106015207716301,0.04,0.0086084050015266,-0.04113852456324572,-0.03553105854027205,0.6756246365534988,0.8347320974779812,0.14123798885303035,0.9430512340173905,0.8132928803626122,0.6179020088500317,0.05357559774580107,0.3177020557829629
49,0.05979826401781213,0.011272937800709542,0.04,0.008525326217102586,-0.043399146070130214,-0.03554646671860428,0.6613866245418034,0.8266153425328941,0.1601932197460156,0.9188971538660731,0.6575931989036495,0.1673451051248993,0.052054565527756454,0.2385447765474515
172,0.059955344172624915,0.011117643490627743,0.04,0.008837700681997171,-0.03479546212024711,-0.026346581574792225,0.6973575155696853,0.9638976950294751,0.030167155655162592,0.95896080344819,0.7617275982656299,0.5542804811401336,0.01,0.3519704238781811
117,0.06011270792287906,0.011429787140835253,0.04,0.008682920782043807,-0.04176727283385213,-0.03530503569484361,0.7156439624555431,1.2420663654987663,0.12022413972618622,0.9283033944958107,0.7765872515436372,0.5109027134657841,0.05022743052048351,0.2965110828229757
276,0.06019847749589088,0.011581999633966049,0.04,0.008616477861924826,-0.04310810735097384,-0.0339012723588325,0.6436738813890005,0.710599983739923,0.1399652112439682,0.7730282888093711,0.781825052096767,0.5020263799337847,0.04186736153385133,0.21702307068882604
131,0.06026491564067996,0.011383535921640353,0.04,0.008881379719039607,-0.03608481064121565,-0.027527609603037833,0.6843879161351792,0.6995989163843155,0.18680145185694022,0.8618484399343235,0.8812124068356442,0.5975457970916915,0.013908869312454948,0.32962199674436293
350,0.06026688957184164,0.012172649310266986,0.04,0.008094240261574655,-0.060337962844791725,-0.056867571686401684,0.5616254472977644,0.30273416250474305,0.2756023731138874,0.743058385074419,0.6129319269836105,0.44505462521263306,0.1811594129156997,0.162292913578936
104,0.060475036396363646,0.011761127795828004,0.04,0.008713908600535645,-0.043305407197683034,-0.03591858991697599,0.6884207668980283,1.114079758695941,0.06306422006650508,0.7552208356904158,0.6123260085531549,0.5041918323070403,0.05116867310963602,0.260857182774884
358,0.060523538386636044,0.011896143523525492,0.04,0.00862739486311055,-0.0457356072105101,-0.037612537191144414,0.6763610322771971,0.9264253893720393,0.1862166812969374,0.8893890881959838,0.9442366370974947,0.6970595927021787,0.059200479039940385,0.21648748505945514
336,0.06057626939661727,0.011649787984256511,0.04,0.008926481412360753,-0.03672353342893963,-0.027040454886231732,0.6898775341143132,0.8397370906655796,0.11619805184696434,0.9249993344006338,0.957830576745288,0.5732469741946062,0.01,0.29686839144782506
106,0.060578714880274054,0.012049474527974969,0.04,0.008529240352299084,-0.05107139149839001,-0.048026366853312914,0.7018109627660093,1.1111157617011373,0.23583347250808118,0.8770217570072539,0.96,0.505123012685786,0.11628952080930087,0.2623888517384967
